UHAWAII_ID	PSMSL_ID	Site	Basin	Lat	Lon	Country	Region	GPD_Record_Start	GPD_Record_End	Annual_Trend	Trend_Start	Trend_End	Lambda	Q99	Shape50	Shape5	Shape95	Scale50	Scale5	Scale95	Vshape	Vscale	Vscaleshape
285a	28500000	Buenos Aires	atlantic	-34.67	-58.5	Argentina	South America	1905	1961	1.373152709	1905	1961	2.929859744	1.286933783	0.125976986	-0.040753081	0.292707053	0.205430536	0.159297368	0.251563704	0.007236552	0.000554026	-0.001312049
333a	33300000	Fort Denison	pacific	-33.9	151.32	Australia	Indian	1965	2015	1.077348669	1965	2015	1.647125141	0.444505724	-0.141536808	-0.288893576	0.005819959	0.079246235	0.058816355	0.099676115	0.005652545	0.000108651	-0.000562468
332a	33200000	Bundaberg	pacific	-24.77	152.5	Australia	Indian	1984	2015	2.883870968	1984	2015	1.59375	0.665360034	0.131383298	-0.084500416	0.347267012	0.074398771	0.048570943	0.100226599	0.012132312	0.000173652	-0.000685444
331a	33100000	Brisbane	pacific	-27.37	153.17	Australia	Indian	1984	2015	3.102419355	1984	2015	1.96875	0.485775566	-0.061937916	-0.308288991	0.184413159	0.060695388	0.039562184	0.081828592	0.015798387	0.000116261	-0.00101414
335a	33500000	Spring Bay	pacific	-42.67	148.07	Australia	Indian	1985	2015	2.791847143	1985	2015	2.032392687	0.380997151	-0.101444247	-0.422916198	0.220027703	0.072780925	0.043352749	0.102209101	0.026902336	0.00022544	-0.002062112
334a	33400000	Townsville	pacific	-19.25	146.83	Australia	Indian	1984	2013	3.159065628	1984	2013	1.366604307	0.883306919	-0.227570151	-0.539616859	0.084476556	0.152161169	0.086509334	0.217813004	0.025347961	0.001122012	-0.004508982
166a	16600000	Broome	indian	-18.02	122.23	Australia	Indian	1986	2015	7.300980392	1986	2015	2.03342612	1.908967626	-0.308748546	-0.550379245	-0.067117847	0.184222268	0.121658682	0.246785855	0.015198756	0.001018936	-0.003444502
171a	17100000	Cocos	indian	-12.12	96.97	Australia	Indian	1985	2015	6.956512631	1985	2015	1.354928458	0.387756059	-0.181298973	-0.498932632	0.136334686	0.057199392	0.032335567	0.082063217	0.026263757	0.000160931	-0.001703178
168a	16800000	Darwin	indian	-12.52	130.97	Australia	Indian	1984	2015	6.408231368	1984	2015	2.125	1.274783363	-0.11442813	-0.358928588	0.130072327	0.09816623	0.064810743	0.131521717	0.01556192	0.000289627	-0.001673467
176a	17600000	Esperance	indian	-33.9	122.02	Australia	Indian	1985	2015	3.981387141	1985	2015	2.09691309	0.491047001	-0.402406547	-0.659266762	-0.145546332	0.140356308	0.092656431	0.188056184	0.01717503	0.000592295	-0.002930766
